Timestamp                       Thread     Type        Activity             PID    TTL  
2026-02-21 01:06:37.476076+0800 0x4c71a0   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104e064a0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-02-21 01:06:37.476518+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-02-21 01:06:37.476840+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x107104300] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-02-21 01:06:37.478290+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-02-21 01:06:37.479123+0800 0x4c71a0   Activity    0x13ced30            54291  0    FlappyBird: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-02-21 01:06:37.482089+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-02-21 01:06:37.482123+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-02-21 01:06:37.482200+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002100af0>
2026-02-21 01:06:37.482229+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-02-21 01:06:37.482277+0800 0x4c719e   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-02-21 01:06:37.482307+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-02-21 01:06:37.482356+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-02-21 01:06:37.482372+0800 0x4c71a1   Default     0x0                  54291  0    FlappyBird: (libxpc.dylib) [com.apple.xpc:connection] [0x104e06f00] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-02-21 01:06:37.482663+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-02-21 01:06:37.482881+0800 0x4c7191   Default     0x0                  54291  0    FlappyBird: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
